cultivar,ciclo,irrigacao,rep,avaliacao,avg_area_f1,avg_area_f2,avg_area_total
CSC 4707,longo,nao_irrigado,1,2,702.4322667,787.95332,1490.385587
CSC 4707,longo,nao_irrigado,1,3,881.0456667,1001.926613,1882.97228
CSC 4707,longo,nao_irrigado,1,4,1000.973493,1098.165973,2099.139467
CSC 4707,longo,nao_irrigado,1,5,1256.658667,1326.191347,2582.850013
CSC 4501,longo,irrigado,1,1,91.92026667,109.158,201.0782667
CSC 4501,longo,irrigado,1,2,1255.585333,1021.336773,2276.922107
CSC 4501,longo,irrigado,1,3,1488.96664,1421.9198,2910.88644
CSC 4501,longo,irrigado,1,4,1714.65,1636.618667,3351.268667
CSC 4501,longo,irrigado,1,5,1811.775933,1807.708,3619.483933
CSC 4501,longo,nao_irrigado,1,1,134.8106667,150.6466267,285.4572933
CSC 4501,longo,nao_irrigado,1,2,676.6293333,609.48804,1286.117373
CSC 4501,longo,nao_irrigado,1,3,886.44024,807.50516,1693.9454
CSC 4501,longo,nao_irrigado,1,4,971.152,862.2086667,1833.360667
CSC 4501,longo,nao_irrigado,1,5,1113.003733,1055.913133,2168.916867
BAG 06,longo,irrigado,1,1,45.61666667,73.52333333,119.14
BAG 06,longo,irrigado,1,2,699.9528667,820.6814,1520.634267
BAG 06,longo,irrigado,1,3,941.7856,1011.520067,1953.305667
BAG 06,longo,irrigado,1,4,1055.838,1147.11856,2202.95656
BAG 06,longo,irrigado,1,5,1066.133413,1188.008267,2254.14168
BAG 06,longo,nao_irrigado,1,1,137.7301333,178.7422,316.4723333
BAG 06,longo,nao_irrigado,1,2,489.7598533,533.2642,1023.024053
BAG 06,longo,nao_irrigado,1,3,637.4634,655.4030933,1292.866493
BAG 06,longo,nao_irrigado,1,4,698.3364267,731.6462533,1429.98268
BAG 06,longo,nao_irrigado,1,5,869.722,970.77204,1516.90336
CSC 4302,medio,irrigado,1,1,167.5473333,183.3897333,350.9370667
CSC 4302,medio,irrigado,1,2,934.6586667,966.9123333,1901.571
CSC 4302,medio,irrigado,1,3,1071.555893,1151.669493,2223.225387
CSC 4302,medio,irrigado,1,4,1165.747333,1254.082667,2419.83
CSC 4302,medio,irrigado,1,5,1178.6166,1181.4341,1573.367133
CSC 4302,medio,nao_irrigado,1,1,108.353,134.2439467,242.5969467
CSC 4302,medio,nao_irrigado,1,2,401.6735333,453.4833333,855.1568667
CSC 4302,medio,nao_irrigado,1,3,532.81984,576.0258,1108.84564
CSC 4302,medio,nao_irrigado,1,4,557.4034667,593.3214933,1150.72496
CSC 4302,medio,nao_irrigado,1,5,550.2014,616.8446667,1167.046067
CSC 4303,medio,irrigado,1,1,58.6684,94.85690667,153.5253067
CSC 4303,medio,irrigado,1,2,864.2372667,1107.8732,1972.110467
CSC 4303,medio,irrigado,1,3,1070.220667,1436.2166,2506.437267
CSC 4303,medio,irrigado,1,4,1257.504453,1776.22284,2441.653013
CSC 4303,medio,irrigado,1,5,1241.8896,1526.03528,2767.92488
CSC 4303,medio,nao_irrigado,1,1,38.72586667,60.86229333,99.58816
CSC 4303,medio,nao_irrigado,1,2,616.7158667,682.962,1299.677867
CSC 4303,medio,nao_irrigado,1,3,868.3481333,928.5685733,1796.916707
CSC 4303,medio,nao_irrigado,1,4,1052.716747,823.26384,1327.138027
CSC 4303,medio,nao_irrigado,1,5,1100.9824,917.7,1406.8824
CSC 444,longo,irrigado,1,1,148.0663333,179.9765333,328.0428667
CSC 444,longo,irrigado,1,2,1003.996,990.2573333,1994.253333
CSC 444,longo,irrigado,1,3,1290.017867,1208.144,2498.161867
CSC 444,longo,irrigado,1,4,1484.88368,1407.839813,2892.723493
CSC 444,longo,irrigado,1,5,1600.20476,1471.0892,3071.29396
CSC 444,longo,nao_irrigado,1,1,58.36786667,67.27653333,125.6444
CSC 444,longo,nao_irrigado,1,2,573.1170667,464.9315067,1038.048573
CSC 444,longo,nao_irrigado,1,3,572.14892,450.27192,1022.42084
CSC 444,longo,nao_irrigado,1,4,897.74888,691.8921333,1589.641013
CSC 444,longo,nao_irrigado,1,5,1242.318933,1056.439067,2298.758
CSC 467,longo,irrigado,1,1,132.0844,187.8977333,319.9821333
CSC 467,longo,irrigado,1,2,752.031,769.0648,1521.0958
CSC 467,longo,irrigado,1,3,1160.3592,1099.4046,2259.7638
CSC 467,longo,irrigado,1,4,1462.045293,1415.018267,2877.06356
CSC 467,longo,irrigado,1,5,1516.547013,1544.0222,3060.569213
CSC 467,longo,nao_irrigado,1,1,102.5248,174.5669333,277.0917333
CSC 467,longo,nao_irrigado,1,2,593.2420667,675.6418667,1268.883933
CSC 467,longo,nao_irrigado,1,3,743.96812,775.1548933,1519.123013
CSC 467,longo,nao_irrigado,1,4,832.5417333,866.7960933,1699.337827
CSC 467,longo,nao_irrigado,1,5,969.5956667,1066.7055,1680.732667
CSC 4704,extra_longo,irrigado,2,1,198.4593333,273.9576,472.4169333
CSC 4704,extra_longo,irrigado,2,2,758.7822667,939.0593333,1697.8416
CSC 4704,extra_longo,irrigado,2,3,1128.431827,1349.377493,2477.80932
